Threshold,Threshold (%),Accepted,Coverage,Coverage (%),Selective Accuracy,Selective Accuracy (%),Selective Risk (%),Wilson LB 95% (%)
0.01,1.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.02,2.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.03,3.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.04,4.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.05,5.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.060000000000000005,6.000000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.06999999999999999,6.999999999999999,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.08,8.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.09,9.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.09999999999999999,10.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.11,11.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.12,12.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.13,13.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.14,14.000000000000002,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.15000000000000002,15.000000000000002,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.16,16.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.17,17.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.18000000000000002,18.000000000000004,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.19,19.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.2,20.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.21000000000000002,21.000000000000004,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.22,22.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.23,23.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.24000000000000002,24.000000000000004,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.25,25.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.26,26.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.27,27.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.28,28.000000000000004,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.29000000000000004,29.000000000000004,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.3,30.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.31,31.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.32,32.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.33,33.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.34,34.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.35000000000000003,35.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.36000000000000004,36.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.37,37.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.38,38.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.39,39.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.4,40.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.41000000000000003,41.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.42000000000000004,42.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.43,43.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.44,44.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.45,45.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.46,46.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.47000000000000003,47.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.48000000000000004,48.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.49,49.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.5,50.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.51,51.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.52,52.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.53,53.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.54,54.0,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.55,55.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.56,56.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.5700000000000001,57.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.5800000000000001,58.00000000000001,18,1.0,100.0,0.8888888888888888,88.88888888888889,11.111111111111116,67.19975513339578
0.59,59.0,17,0.9444444444444444,94.44444444444444,0.8823529411764706,88.23529411764706,11.764705882352944,65.66315750229009
0.6,60.0,16,0.8888888888888888,88.88888888888889,0.875,87.5,12.5,63.97666856325173
0.61,61.0,16,0.8888888888888888,88.88888888888889,0.875,87.5,12.5,63.97666856325173
0.62,62.0,16,0.8888888888888888,88.88888888888889,0.875,87.5,12.5,63.97666856325173
